
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[23000/51350] processed, ingested=9310, skipped=140, already_present=13550
[23025/51350] processed, ingested=9335, skipped=140, already_present=13550
[23050/51350] processed, ingested=9359, skipped=141, already_present=13550
[23075/51350] processed, ingested=9383, skipped=141, already_present=13551
[23100/51350] processed, ingested=9408, skipped=141, already_present=13551
[23125/51350] processed, ingested=9433, skipped=141, already_present=13551
[23150/51350] processed, ingested=9458, skipped=141, already_present=13551
[23175/51350] processed, ingested=9483, skipped=141, already_present=13551
[23200/51350] processed, ingested=9508, skipped=141, already_present=13551
[23225/51350] processed, ingested=9533, skipped=141, already_present=13551
[23250/51350] processed, ingested=9558, skipped=141, already_present=13551
[23275/51350] processed, ingested=9583, skipped=141, already_present=13551
[23300/51350] processed, ingested=9608, skipped=141, already_present=13551
[23325/51350] processed, ingested=9632, skipped=142, already_present=13551
[23350/51350] processed, ingested=9657, skipped=142, already_present=13551
[23375/51350] processed, ingested=9682, skipped=142, already_present=13551
[23400/51350] processed, ingested=9707, skipped=142, already_present=13551
[23425/51350] processed, ingested=9732, skipped=142, already_present=13551
[23450/51350] processed, ingested=9755, skipped=144, already_present=13551
[23475/51350] processed, ingested=9780, skipped=144, already_present=13551
[23500/51350] processed, ingested=9805, skipped=144, already_present=13551
[23525/51350] processed, ingested=9830, skipped=144, already_present=13551
[23550/51350] processed, ingested=9855, skipped=144, already_present=13551
[23575/51350] processed, ingested=9880, skipped=144, already_present=13551
[23600/51350] processed, ingested=9905, skipped=144, already_present=13551
[23625/51350] processed, ingested=9930, skipped=144, already_present=13551
[23650/51350] processed, ingested=9947, skipped=152, already_present=13551
[23675/51350] processed, ingested=9972, skipped=152, already_present=13551
[23700/51350] processed, ingested=9997, skipped=152, already_present=13551
[23725/51350] processed, ingested=10022, skipped=152, already_present=13551
[23750/51350] processed, ingested=10047, skipped=152, already_present=13551
[23775/51350] processed, ingested=10072, skipped=152, already_present=13551
[23800/51350] processed, ingested=10097, skipped=152, already_present=13551
[23825/51350] processed, ingested=10122, skipped=152, already_present=13551
[23850/51350] processed, ingested=10147, skipped=152, already_present=13551
[23875/51350] processed, ingested=10172, skipped=152, already_present=13551
[23900/51350] processed, ingested=10197, skipped=152, already_present=13551
[23925/51350] processed, ingested=10222, skipped=152, already_present=13551
[23950/51350] processed, ingested=10247, skipped=152, already_present=13551
[23975/51350] processed, ingested=10272, skipped=152, already_present=13551
[24000/51350] processed, ingested=10297, skipped=152, already_present=13551
[24025/51350] processed, ingested=10322, skipped=152, already_present=13551
[24050/51350] processed, ingested=10347, skipped=152, already_present=13551
[24075/51350] processed, ingested=10371, skipped=152, already_present=13552
[24100/51350] processed, ingested=10396, skipped=152, already_present=13552
[24125/51350] processed, ingested=10421, skipped=152, already_present=13552
[24150/51350] processed, ingested=10446, skipped=152, already_present=13552
[24175/51350] processed, ingested=10471, skipped=152, already_present=13552
[24200/51350] processed, ingested=10496, skipped=152, already_present=13552
[24225/51350] processed, ingested=10521, skipped=152, already_present=13552
[24250/51350] processed, ingested=10545, skipped=152, already_present=13553
[24275/51350] processed, ingested=10569, skipped=152, already_present=13554
[24300/51350] processed, ingested=10594, skipped=152, already_present=13554
[24325/51350] processed, ingested=10619, skipped=152, already_present=13554
[24350/51350] processed, ingested=10644, skipped=152, already_present=13554
[24375/51350] processed, ingested=10669, skipped=152, already_present=13554
[24400/51350] processed, ingested=10694, skipped=152, already_present=13554
[24425/51350] processed, ingested=10719, skipped=152, already_present=13554
[24450/51350] processed, ingested=10744, skipped=152, already_present=13554
